	im2c_t	dir_t	im2wBase_t	im2wBLAS_t	im2c_G	dir_G	im2wBase_G	im2w_G
Conv1	0.510372	1.48215	2.94112	0.126699	52.8758	18.2075	9.17551	212.995
Conv2	0.516957	1.58328	3.00764	0.125851	54.1177	17.67	9.30181	222.3
Conv3	0.954266	1.76493	3.36631	0.194705	31.0967	16.8134	8.81513	152.407
Conv4	9.32704	3.99279	17.7454	2.84845	65.4494	152.888	34.4005	214.309
Conv5	0.298147	0.402669	0.72148	0.329204	211.018	156.244	87.2021	191.111
Conv6	0.141997	0.168918	0.325736	0.161132	212.673	178.779	92.71	187.417
Conv7	2.48982	1.34399	2.77471	0.435983	8.75631	16.2216	7.85727	50.0057
Conv8	2.66551	1.55908	4.69397	1.04966	85.6798	146.483	48.6539	217.574
Conv9	0.412575	0.178221	0.902423	0.127539	66.7002	154.409	30.4944	215.768
Conv10	0.21881	0.118372	0.473525	0.126473	116.622	215.576	53.8897	201.767
Conv11	0.118295	0.122691	0.298713	0.123754	183.806	177.22	72.79	175.697
Conv12	0.0876628	0.0764562	0.191073	0.0803103	172.245	197.492	79.0246	188.014
