	im2cblas_t	im2cDNN_t	dir_t	im2wBase_t	im2wHPC_t	im2cblas_G	im2cDNN_G	dir_G	im2wBase_G	im2w_G	im2w-pre	im2w-vec	im2w-mic
Conv1	0.00888181	0.0030262	0.0202888s	0.0304657	0.00168295	0.377003727	0.556126802	0.082949551	442.896	1	7420.74	6971.66	2886.32
Conv2	0.007848	0.00250659	0.0210203s	0.0334074	0.00181862	0.395938209	0.725537204	0.08651751	418.718	1	7319.24	6152.85	2845.92
Conv3	0.0088109	0.00320508	0.0206863s	0.0269799	0.00394219	0.828538862	1.229977868	0.190570209	549.938	1	3739.42	3575.52	1731.3
Conv4	0.0222674	0.0152928	0.548323s	0.878447	0.0117166	0.526178284	0.766150492	0.02136803	173.729	1	11462.2	11722.7	7424.4
Conv5	0.00830511	0.0016325	0.0605506s	0.0726528	0.00290388	0.261159452	1.328612601	0.035820635	432.981	1	10191.4	8457.44	4931.1
Conv6	0.00686533	0.0014915	0.0820884s	0.121391	0.00151306	0.383489221	1.014457754	0.018432133	124.387	1	7274.22	7710.64	4790.12
Conv7	0.0146376	0.0065948	0.0417616s	0.0517484	0.00839196	0.573315576	1.272510316	0.200949221	210.651	1	1174.31	1240.75	1078.13
Conv8	0.0182784	0.0161985	0.228284s	0.340063	0.00949574	0.519504549	0.787238678	0.041596205	335.791	1	11558.7	11183.6	5651.93
Conv9	0.00671972	0.00214431	0.0245744s	0.0507319	0.00188551	0.280594291	0.87930836	0.076726633	538.084	1	5631.52	4527.05	4159.54
Conv10	0.00739661	0.00109999	0.0227928s	0.0233978	0.00106537	0.278425544	0.9685209	0.04674137	545.312	1	8449.78	8270.14	5789
Conv11	0.00645342	0.000698209	0.054483s	0.0704554	0.00087773	0.136009721	1.257118867	0.016110156	154.305	1	11272	10147.4	8256.84
Conv12	0.0083229	0.00106502	0.153951	0.154304	0.000988028	0.118711909	0.9277119	0.006417802	48.9279	1	6624.13	4182.12	3285.72

