	im2cblas_t	im2cDNN_t	dir_t	im2wBase_t	im2wHPC_t	im2cblas_G	im2cDNN_G	dir_G	im2wBase_G	im2w_G	im2w-pre	im2w-vec	im2w-mic
Conv1	0.00888181	0.0030262	0.0202888s	0.0304657	0.00168295	3.02265	4.45878	0.665053	0.442896	8.01756	7.42074	6.97166	2.88632
Conv2	0.007848	0.00250659	0.0210203s	0.0334074	0.00181862	3.04543	5.5806	0.665465	0.418718	7.69168	7.31924	6.15285	2.84592
Conv3	0.0088109	0.00320508	0.0206863s	0.0269799	0.00394219	3.11838	4.62928	0.717251	0.549938	3.76371	3.73942	3.57552	1.7313
Conv4	0.0222674	0.0152928	0.548323s	0.878447	0.0117166	6.85363	9.97934	0.278325	0.173729	13.0253	11.4622	11.7227	7.4244
Conv5	0.00830511	0.0016325	0.0605506s	0.0726528	0.00290388	3.7877	19.2694	0.519521	0.432981	14.5034	10.1914	8.45744	4.9311
Conv6	0.00686533	0.0014915	0.0820884s	0.121391	0.00151306	3.827	10.1237	0.183942	0.124387	9.97942	7.27422	7.71064	4.79012
Conv7	0.0146376	0.0065948	0.0417616s	0.0517484	0.00839196	0.744714	1.65294	0.261025	0.210651	1.29896	1.17431	1.24075	1.07813
Conv8	0.0182784	0.0161985	0.228284s	0.340063	0.00949574	6.24725	9.46686	0.500211	0.335791	12.0254	11.5587	11.1836	5.65193
Conv9	0.00671972	0.00214431	0.0245744s	0.0507319	0.00188551	2.04762	6.4167	0.559908	0.538084	7.29744	5.63152	4.52705	4.15954
Conv10	0.00739661	0.00109999	0.0227928s	0.0233978	0.00106537	3.33448	11.5992	0.559784	0.545312	11.9762	8.44978	8.27014	5.789
Conv11	0.00645342	0.000698209	0.054483s	0.0704554	0.00087773	1.68463	15.5708	0.199542	0.154305	12.3861	11.272	10.1474	8.25684
Conv12	0.0083229	0.00106502	0.153951	0.154304	0.000988028	0.907105	7.08886	0.0490399	0.0489279	7.64123	6.62413	4.18212	3.28572

