	im2cblas	cuDNN	dir	im2wBase	im2wHPC
Conv1	1.200195313	1.211914063	0.786132813	2.97517E-05	0.858398438
Conv2	1.206054688	1.356445313	0.788085938	3.26244E-05	0.862304688
Conv3	1.438476563	1.588867188	0.979492188	2.63476E-05	1.262695313
Conv4	1.819335938	2.483398438	1.30859375	0.000857858	1.315429688
Conv5	1.084960938	1.108398438	0.809570313	0.00007095	0.922851563
Conv6	1.049804688	1.088867188	0.784179688	0.000118546	0.848632813
Conv7	2.567382813	2.717773438	1.543945313	5.05355E-05	1.827148438
Conv8	2.444335938	3.631835938	1.315429688	0.000332093	1.963867188
Conv9	1.161132813	1.467773438	0.846679688	4.95429E-05	0.928710938
Conv10	1.090820313	1.206054688	0.799804688	2.28494E-05	0.936523438
Conv11	1.053710938	1.174804688	0.743164063	6.88041E-05	0.784179688
Conv12	1.041992188	1.264648438	0.770507813	0.000150688	0.815429688

