	im2cblas	cuDNN	dir	im2wBase	im2wHPC
Conv1	1.39817975	1.411831627	805	0.0304657	1
Conv2	1.398640997	1.573046433	807	0.0334074	1
Conv3	1.139211137	1.258313998	1003	0.0269799	1
Conv4	1.383073497	1.887899035	1340	0.878447	1
Conv5	1.175661376	1.201058201	829	0.0726528	1
Conv6	1.237054085	1.283084005	803	0.121391	1
Conv7	1.405130946	1.487439872	1581	0.0517484	1
Conv8	1.244654401	1.849328692	1347	0.340063	1
Conv9	1.250262881	1.58044164	867	0.0507319	1
Conv10	1.164754953	1.287799791	819	0.0233978	1
Conv11	1.343711083	1.498132005	761	0.0704554	1
Conv12	1.277844311	1.550898204	789	0.154304	1

