	im2cblas	cuDNN	dir	im2wBase	im2wHPC
Conv1	1.526708075	1.541614907	1	1	1.091925466
Conv2	1.530359356	1.721189591	1	1	1.09417596
Conv3	1.468594217	1.622133599	1	1	1.289132602
Conv4	1.390298507	1.897761194	1	1	1.005223881
Conv5	1.340168878	1.369119421	1	1	1.139927624
Conv6	1.338729763	1.388542964	1	1	1.082191781
Conv7	1.6628716	1.760278305	1	1	1.18342821
Conv8	1.858203415	2.76095026	1	1	1.49294729
Conv9	1.371395617	1.733564014	1	1	1.096885813
Conv10	1.363858364	1.507936508	1	1	1.170940171
Conv11	1.343711083	1.498132005	1	1	1.055190539
Conv12	1.35234474	1.641318124	1	1	1.058301648

