	im2cblas_t	im2cDNN_t	dir_t	im2wBase_t	im2wHPC_t	im2cblas_G	im2cDNN_G	dir_G	im2wBase_G	im2w_G	im2w-pre	im2w-vec	im2w-mic
Conv1	0.00888181	0.0030262	0.0202888s	0.0304657	0.00168295	3022.65	4458.78	665.053	442.896	8017.56	7420.74	6971.66	2886.32
Conv2	0.007848	0.00250659	0.0210203s	0.0334074	0.00181862	3045.43	5580.6	665.465	418.718	7691.68	7319.24	6152.85	2845.92
Conv3	0.0088109	0.00320508	0.0206863s	0.0269799	0.00394219	3118.38	4629.28	717.251	549.938	3763.71	3739.42	3575.52	1731.30
Conv4	0.0222674	0.0152928	0.548323s	0.878447	0.0117166	6853.63	9979.34	278.325	173.729	13025.3	11462.2	11722.7	7424.4
Conv5	0.00830511	0.0016325	0.0605506s	0.0726528	0.00290388	3787.7	19269.4	519.521	432.981	14503.4	10191.4	8457.44	4931.1
Conv6	0.00686533	0.0014915	0.0820884s	0.121391	0.00151306	3827	10123.7	183.942	124.387	9979.42	7274.22	7710.64	4790.12
Conv7	0.0146376	0.0065948	0.0417616s	0.0517484	0.00839196	744.714	1652.94	261.025	210.651	1298.96	1174.31	1240.75	1078.13
Conv8	0.0182784	0.0161985	0.228284s	0.340063	0.00949574	6247.25	9466.86	500.211	335.791	12025.4	11558.7	11183.6	5651.93
Conv9	0.00671972	0.00214431	0.0245744s	0.0507319	0.00188551	2047.62	6416.7	559.908	538.084	7297.44	5631.52	4527.05	4159.54
Conv10	0.00739661	0.00109999	0.0227928s	0.0233978	0.00106537	3334.48	11599.2	559.784	545.312	11976.2	8449.78	8270.14	5789
Conv11	0.00645342	0.000698209	0.054483s	0.0704554	0.00087773	1684.63	15570.8	199.542	154.305	12386.1	11272	10147.4	8256.84
Conv12	0.0083229	0.00106502	0.153951	0.154304	0.000988028	907.105	7088.86	49.0399	48.9279	7641.23	6624.13	4182.12	3285.72
